Block,Median time,Coinbase,Subsidy,Flag
157077,2011-12-11 14:10:43,135.97417976,50,x
157138,2011-12-11 22:34:23,122.32606134,50,x
157235,2011-12-12 16:21:42,221.84649523,50,x
164382,2012-01-29 12:42:54,117.525,50,x
201731,2012-10-04 00:35:31,154.68299211,50,x
209782,2012-11-27 06:06:16,109.00334758,50,x
215936,2013-01-10 03:03:51,136.49075,25,x
219303,2013-02-02 22:16:16,50.18711096,25,x
231856,2013-04-17 18:39:03,53.3081,25,x
236502,2013-05-16 20:01:08,55.91389352,25,x
254642,2013-08-28 10:02:23,225.22600217,25,x
258546,2013-09-17 20:50:58,106.31862532,25,x
258555,2013-09-17 22:04:09,75.17993477,25,x
258562,2013-09-17 22:58:44,106.15901183,25,x
260343,2013-09-27 03:33:23,79.08455165,25,x
266309,2013-10-27 05:38:06,52.87941,25,x
268184,2013-11-06 03:44:40,52.48043385,25,x
268305,2013-11-06 20:38:31,53.3689799,25,x
268529,2013-11-08 11:07:10,51.86521,25,x
268567,2013-11-08 17:33:39,61.71549047,25,x
316112,2014-08-17 16:21:51,52.725361,25,x
322621,2014-09-26 07:21:06,55.18210176,25,x
353672,2015-04-25 16:27:32,111.21369888,25,x
358850,2015-05-31 18:27:03,50.2204139,25,x
409008,2016-04-26 13:39:47,316.53275103,25,x
446633,2017-01-04 19:24:52,63.53767145,12.5,x
469057,2017-05-31 13:54:10,43.22128251,12.5,x
470189,2017-06-07 11:50:46,92.15735309,12.5,x
494045,2017-11-12 00:13:04,25.90062221,12.5,x
500439,2017-12-21 19:01:44,25.51404459,12.5,x
500521,2017-12-22 09:10:07,26.00566844,12.5,x
500539,2017-12-22 13:14:47,25.19557085,12.5,x
500546,2017-12-22 14:02:33,27.3215063,12.5,x
788695,2023-05-07 21:07:43,12.95074657,6.25,x
788700,2023-05-07 22:06:27,12.58947083,6.25,x
788702,2023-05-07 22:10:36,12.77943977,6.25,x
788760,2023-05-08 06:17:26,12.91298793,6.25,x
788762,2023-05-08 06:41:11,12.83654107,6.25,x
788763,2023-05-08 06:41:54,13.26575301,6.25,x
788764,2023-05-08 06:58:52,12.70767485,6.25,x
788766,2023-05-08 08:10:23,12.96661119,6.25,x
788792,2023-05-08 12:42:02,13.16405806,6.25,x
788795,2023-05-08 12:56:03,12.71290698,6.25,x
788799,2023-05-08 14:06:31,12.86848896,6.25,x
788806,2023-05-08 15:13:47,12.7002096,6.25,x
788833,2023-05-08 19:44:34,12.73217607,6.25,x
